Table 1
,Latitude(id),Longitude(kendo),category,,,
,28.3431,144.2285,Coal,,,
,22.8369,135,Coal,,,
,24.2470,135.2197,Coal,,,
,23.2010,133.5938,Coal,,,
,25.8790,136.0986,Coal,,,
,28.1107,136.2305,Coal,,,
,30.8645,137.9004,Coal,,,
,32.2500,142.0313,Coal,,,
,28.9985,133.8574,Coal,,,
,27.8391,131.7920,Coal,,,
,26.5885,131.1768,Coal,,,
,28.3817,130.3857,Coal,,,
,26.7456,126.4746,Coal,,,
,26.4706,125.7715,Coal,,,
,26.4706,124.4971,Coal,,,
,29.8788,128.8477,Coal,,,
,29.9330,128.9795,Coal,,,
,30.9776,128.2764,Coal,,,
,31.1658,127.9688,Coal,,,
,31.5036,135.7910,Coal,,,
,31.6908,133.2422,Coal,,,
,32.1756,132.6270,Coal,,,
,32.0267,132.0557,Coal,,,
,31.2034,131.3525,Coal,,,
,8.8417,129.5068,Coal,,,
,10.6174,126.8701,Coal,,,
,6.6210,126.2549,Coal,,,
,6.3590,126.6064,Coal,,,
,26.7064,128.0127,Coal,,,
,26.7064,126.4307,Coal,,,
,26.5099,124.4971,Coal,,,
,26.2343,124.4971,Coal,,,
,24.1668,123.0908,Coal,,,
,23.6043,123.1787,Coal,,,
,21.3303,121.5967,Coal,,,
,21.7391,121.2891,Coal,,,
,20.9614,120.3223,Coal,,,
,22.5531,119.8828,Coal,,,
,31.2786,123.1787,Coal,,,
,31.2786,122.9150,Coal,,,
,54.5975,-179.0332,Coal,,,
,53.4095,179.2529,Coal,,,
,53.0148,176.5283,Coal,,,
,31.9443,173.8916,Coal,,,
,51.5087,164.0479,Coal,,,
,50.2613,162.0264,Coal,,,
,49.9229,163.0371,Coal,,,
,48.6329,161.4111,Coal,,,
,47.0701,155.478,Coal,,,
,42.8438,144.1406,Coal,,,
,41.2117,142.1191,Coal,,,
,40.6473,141.5918,Coal,,,
,39.0960,142.9102,Coal,,,
,39.2663,142.4268,Coal,,,
,37.9289,142.9980,Coal,,,
,38.1000,141.5918,Coal,,,
,37.6142,141.6797,Coal,,,
,36.7037,142.1191,Coal,,,
,36.8445,141.7676,Coal,,,
,36.5979,141.3281,Coal,,,
,35.8891,141.1084,Coal,,,
,34.7416,141.0645,Coal,,,
,35.1379,140.7129,Coal,,,
,34.7416,140.8008,Coal,,,
,34.8138,140.0537,Coal,,,
,35.0660,139.5703,Coal,,,
,33.3948,139.0869,Coal,,,
,33.8704,138.3838,Coal,,,
,34.1982,138.3838,Coal,,,
,34.1618,138.5156,Coal,,,
,34.0891,137.8125,Coal,,,
,33.9069,138.1201,Coal,,,
,34.2345,137.5928,Coal,,,
,34.2708,136.9336,Coal,,,
,32.9534,136.7578,Coal,,,
,32.6209,136.4063,Coal,,,
,32.9534,135.7910,Coal,,,
,32.3614,135.7910,Coal,,,
,32.0527,134.8242,Coal,,,
,33.3948,135.0879,Coal,,,
,33.1743,135.3076,Coal,,,
,32.8427,135.3516,Coal,,,
,32.6579,135.2197,Coal,,,
,33.5414,134.5605,Coal,,,
,40.7473,139.8779,Coal,,,
,40.2124,139.4385,Coal,,,
,40.0781,139.2627,Coal,,,
,39.1631,138.8232,Coal,,,
,38.5138,138.1201,Coal,,,
,37.1953,137.6367,Coal,,,
,35.9958,135.7471,Coal,,,
,36.3151,135.1318,Coal,,,
,35.8178,134.9121,Coal,,,
,35.8178,132.2754,Coal,,,
,36.0313,131.4844,Coal,,,
,35.6037,131.4844,Coal,,,
,34.9940,130.2100,Coal,,,
,34.4703,134.4781,Coal,,,
,34.1436,133.1213,Coal,,,
,33.7517,132.3303,Coal,,,
,33.8157,131.4185,Coal,,,
,32.8980,126.9580,Coal,,,
,32.4727,126.8701,Coal,,,
,32.5468,126.4746,Coal,,,
,33.7974,126.2988,Coal,,,
,34.1254,125.9473,Coal,,,
,34.2890,124.8926,Coal,,,
,34.5428,122.6733,Coal,,,
,37.4400,123.3325,Coal,,,
,34.8679,121.1353,Coal,,,
,34.7958,121.3330,Coal,,,
,34.8318,121.1792,Coal,,,
,31.1282,122.9810,Coal,,,
,38.7198,120.8057,Coal,,,
,38.6169,118.9600,Coal,,,
,19.9733,116.1914,Coal,,,
,10.8333,111.8848,Coal,,,
,8.7548,109.5996,Coal,,,
,7.7981,110.7422,Coal,,,
,5.6160,106.8750,Coal,,,
,3.8643,105.5566,Coal,,,
,2.5480,104.8535,Coal,,,
,1.4061,103.5352,Coal,,,
,10.0554,103.1836,Coal,,,
,10.4878,102.5684,Coal,,,
,11.0922,126.8262,Coal,,,
,9.1889,129.3750,Coal,,,
,6.6646,126.8262,Coal,,,
,3.1625,122.6074,Coal,,,
,0.9668,119.5313,Coal,,,
,0.7910,118.2129,Coal,,,
,-0.3516,118.6523,Coal,,,
,-4.5655,126.1230,Coal,,,
,-6.6646,124.4531,Coal,,,
,-9.7957,122.9590,Coal,,,
,-12.2971,121.8164,Coal,,,
,-10.5742,109.5996,Coal,,,
,-17.9787,118.1250,Coal,,,
,-19.6426,118.4766,Coal,,,
,-19.8907,117.4219,Coal,,,
,-20.1385,117.0703,Coal,,,
,-18.5629,114.8730,Coal,,,
,6.5773,77.5195,Coal,,,
,10.8333,62.5781,Coal,,,
,-18.0623,57.8320,Coal,,,
,-18.9790,56.7773,Coal,,,
,-35.4607,23.2031,Coal,,,
,-29.3822,12.1289,Coal,,,
,26.7456,-35.8594,Coal,,,
,15.6230,-31.9922,Coal,,,
,-19.6426,-39.7266,Coal,,,
,-25.7999,-24.9609,Coal,,,
,-29.2289,11.9531,Coal,,,
,-34.8859,22.8516,Coal,,,
